"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"PARA-15242: Funds operations","PARA-15270: Funds transfer","","0","0","2","0","0"
"PARA-15241: Account operations","PARA-15253: Accounts Overview page navigation","","0","0","11","0","0"
"PARA-15244: Payment operations","PARA-15290: Bill payment","","0","0","5","0","0"
"PARA-15240: User registration and authentication","PARA-15264: Home page navigation","","0","0","12","0","0"
"PARA-15243: User support","PARA-15280: Email support request","","0","0","3","0","0"
"PARA-15242: Funds operations","PARA-15271: Transfer Funds page navigation","","0","0","9","0","0"
"PARA-15243: User support","PARA-15281: Contact page navigation","","0","0","12","0","0"
"PARA-15241: Account operations","PARA-15254: Open New Account page navigation","","0","0","10","0","0"
"PARA-15240: User registration and authentication","PARA-15265: Customer Lookup page navigation","","0","0","4","0","0"
"PARA-15240: User registration and authentication","PARA-15262: Customer lookup","","0","0","3","0","0"
"PARA-15240: User registration and authentication","PARA-15261: User login","","0","0","3","2","0"
"PARA-15241: Account operations","PARA-15251: Account display in Accounts Overview table","","0","0","2","0","0"
"PARA-15240: User registration and authentication","PARA-15260: User registration","","0","0","4","1","0"
"PARA-15241: Account operations","PARA-15252: New account opening","","0","0","2","0","0"
"PARA-15240: User registration and authentication","PARA-15263: Register page navigation","","0","0","4","0","0"
"PARA-15241: Account operations","PARA-15250: Account data consistency","","0","0","2","0","0"
