"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 18 16:51:25 GMT 2024","Thu Jan 18 16:51:27 GMT 2024","1450","tests.core_features","test_customer_lookup","TestCustomerLookup","","","User can't successfully lookup for credentials by submitting an empty form.",""
"passed","Thu Jan 18 16:54:13 GMT 2024","Thu Jan 18 16:54:15 GMT 2024","1747","tests.navigation","test_open_new_account_page_navigation","TestOpenNewAccountPageNavigation","","","User can proceed from Open New Account page to Home page",""
"passed","Thu Jan 18 16:54:16 GMT 2024","Thu Jan 18 16:54:18 GMT 2024","1907","tests.navigation","test_open_new_account_page_navigation","TestOpenNewAccountPageNavigation","","","User can proceed from Open New Account page to Accounts Overview page",""
"passed","Thu Jan 18 16:50:46 GMT 2024","Thu Jan 18 16:50:50 GMT 2024","4561","tests.core_features","test_account_display","TestAccountDisplay","","","Default account is displayed in the table for a new user",""
"passed","Thu Jan 18 16:54:21 GMT 2024","Thu Jan 18 16:54:23 GMT 2024","1871","tests.navigation","test_open_new_account_page_navigation","TestOpenNewAccountPageNavigation","","","User can proceed from Open New Account page to Bill Pay page",""
"passed","Thu Jan 18 16:52:44 GMT 2024","Thu Jan 18 16:52:46 GMT 2024","1695","tests.navigation","test_accounts_overview_page_navigation","TestAccountsOverviewPageNavigation","","","User can proceed from Accounts Overview page to Open New Account page",""
"passed","Thu Jan 18 16:52:02 GMT 2024","Thu Jan 18 16:52:03 GMT 2024","1104","tests.core_features","test_login","TestLogin","","","User can't successfully log in with empty password.",""
"passed","Thu Jan 18 16:54:43 GMT 2024","Thu Jan 18 16:54:45 GMT 2024","1823","tests.navigation","test_transfer_funds_page_navigation","TestTransferFundsPageNavigation","","","User can proceed from Transfer Funds page to Contact page",""
"passed","Thu Jan 18 16:52:00 GMT 2024","Thu Jan 18 16:52:01 GMT 2024","1207","tests.core_features","test_login","TestLogin","","","User can't successfully log in with empty username.",""
"passed","Thu Jan 18 16:52:37 GMT 2024","Thu Jan 18 16:52:38 GMT 2024","1492","tests.navigation","test_accounts_overview_page_navigation","TestAccountsOverviewPageNavigation","","","User can proceed from Accounts Overview page to Contact page",""
"passed","Thu Jan 18 16:53:32 GMT 2024","Thu Jan 18 16:53:33 GMT 2024","1162","tests.navigation","test_home_page_navigation","TestHomePageNavigation","","","User can proceed from Home page to Register page",""
"passed","Thu Jan 18 16:51:06 GMT 2024","Thu Jan 18 16:51:09 GMT 2024","2857","tests.core_features","test_bill_payment","TestBillPayment","","","User can't make a payment by submitting an empty payee info form",""
"skipped","Thu Jan 18 16:51:55 GMT 2024","Thu Jan 18 16:51:57 GMT 2024","1318","tests.core_features","test_login","TestLogin","","","User can't successfully log in with invalid password.",""
"passed","Thu Jan 18 16:52:21 GMT 2024","Thu Jan 18 16:52:22 GMT 2024","1337","tests.core_features","test_registration","TestRegistration","","","User can't successfully register by submitting an empty form",""
"passed","Thu Jan 18 16:53:14 GMT 2024","Thu Jan 18 16:53:16 GMT 2024","1834","tests.navigation","test_contact_page_navigation","TestContactPageNavigation","","","Logged in user can proceed from Contact page to Transfer Funds page",""
"passed","Thu Jan 18 16:52:54 GMT 2024","Thu Jan 18 16:52:55 GMT 2024","1510","tests.navigation","test_accounts_overview_page_navigation","TestAccountsOverviewPageNavigation","","","User can proceed from Accounts Overview page to Update Profile page",""
"passed","Thu Jan 18 16:51:10 GMT 2024","Thu Jan 18 16:51:13 GMT 2024","3726","tests.core_features","test_bill_payment","TestBillPayment","","","User can't make a payment by leaving one of the payee info fields empty",""
"skipped","Thu Jan 18 16:51:57 GMT 2024","Thu Jan 18 16:51:59 GMT 2024","1264","tests.core_features","test_login","TestLogin","","","User can't successfully log in with invalid username.",""
"passed","Thu Jan 18 16:53:27 GMT 2024","Thu Jan 18 16:53:29 GMT 2024","2008","tests.navigation","test_contact_page_navigation","TestContactPageNavigation","","","Logged in user can log out from Contact page",""
"passed","Thu Jan 18 16:52:29 GMT 2024","Thu Jan 18 16:52:33 GMT 2024","3741","tests.core_features","test_registration","TestRegistration","","","User can't successfully register with existing username.",""
"passed","Thu Jan 18 16:54:32 GMT 2024","Thu Jan 18 16:54:34 GMT 2024","2077","tests.navigation","test_open_new_account_page_navigation","TestOpenNewAccountPageNavigation","","","User can log out from Open New Account page",""
"passed","Thu Jan 18 16:53:52 GMT 2024","Thu Jan 18 16:53:53 GMT 2024","1860","tests.navigation","test_home_page_navigation","TestHomePageNavigation","","","Logged in user can proceed from Home page to Update Profile page",""
"passed","Thu Jan 18 16:51:47 GMT 2024","Thu Jan 18 16:51:52 GMT 2024","5344","tests.core_features","test_funds_transfer","TestFundsTransfer","","","User can't transfer funds leaving amount field empty",""
"passed","Thu Jan 18 16:50:55 GMT 2024","Thu Jan 18 16:50:58 GMT 2024","3518","tests.core_features","test_account_display","TestAccountDisplay","","","Newly created account is displayed in the table",""
"passed","Thu Jan 18 16:52:49 GMT 2024","Thu Jan 18 16:52:51 GMT 2024","1475","tests.navigation","test_accounts_overview_page_navigation","TestAccountsOverviewPageNavigation","","","User can proceed from Accounts Overview page to Bill Pay page",""
"passed","Thu Jan 18 16:53:03 GMT 2024","Thu Jan 18 16:53:04 GMT 2024","972","tests.navigation","test_contact_page_navigation","TestContactPageNavigation","","","User can proceed from Contact page to Register page",""
"passed","Thu Jan 18 16:54:10 GMT 2024","Thu Jan 18 16:54:12 GMT 2024","1825","tests.navigation","test_open_new_account_page_navigation","TestOpenNewAccountPageNavigation","","","User can proceed from Open New Account page to About Us page",""
"passed","Thu Jan 18 16:52:59 GMT 2024","Thu Jan 18 16:53:00 GMT 2024","1688","tests.navigation","test_accounts_overview_page_navigation","TestAccountsOverviewPageNavigation","","","User can log out from Accounts Overview page",""
"passed","Thu Jan 18 16:51:37 GMT 2024","Thu Jan 18 16:51:38 GMT 2024","1311","tests.core_features","test_email_support","TestEmailSupportRequest","","","User can't successfully send email support request by leaving one of the fields empty.",""
"passed","Thu Jan 18 16:52:47 GMT 2024","Thu Jan 18 16:52:48 GMT 2024","1530","tests.navigation","test_accounts_overview_page_navigation","TestAccountsOverviewPageNavigation","","","User can proceed from Accounts Overview page to Transfer Funds page",""
"passed","Thu Jan 18 16:52:34 GMT 2024","Thu Jan 18 16:52:36 GMT 2024","2196","tests.navigation","test_accounts_overview_page_navigation","TestAccountsOverviewPageNavigation","","","User can proceed from Accounts Overview page to Account Activity page",""
"passed","Thu Jan 18 16:54:04 GMT 2024","Thu Jan 18 16:54:05 GMT 2024","1154","tests.navigation","test_lookup_page_navigation","TestCustomerLookupPageNavigation","","","User can proceed from Customer Lookup page to About Us page",""
"passed","Thu Jan 18 16:54:46 GMT 2024","Thu Jan 18 16:54:48 GMT 2024","1931","tests.navigation","test_transfer_funds_page_navigation","TestTransferFundsPageNavigation","","","User can proceed from Transfer Funds page to About Us page",""
"passed","Thu Jan 18 16:54:24 GMT 2024","Thu Jan 18 16:54:26 GMT 2024","2037","tests.navigation","test_open_new_account_page_navigation","TestOpenNewAccountPageNavigation","","","User can proceed from Open New Account page to Find Transactions page",""
"passed","Thu Jan 18 16:53:41 GMT 2024","Thu Jan 18 16:53:43 GMT 2024","1884","tests.navigation","test_home_page_navigation","TestHomePageNavigation","","","Logged in user can proceed from Home page to Accounts Overview page",""
"passed","Thu Jan 18 16:53:11 GMT 2024","Thu Jan 18 16:53:13 GMT 2024","2070","tests.navigation","test_contact_page_navigation","TestContactPageNavigation","","","Logged in user can proceed from Contact page to Accounts Overview page",""
"passed","Thu Jan 18 16:53:36 GMT 2024","Thu Jan 18 16:53:37 GMT 2024","1097","tests.navigation","test_home_page_navigation","TestHomePageNavigation","","","User can proceed from Home page to About Us page",""
"passed","Thu Jan 18 16:53:05 GMT 2024","Thu Jan 18 16:53:06 GMT 2024","860","tests.navigation","test_contact_page_navigation","TestContactPageNavigation","","","User can proceed from Contact page to About Us page",""
"passed","Thu Jan 18 16:50:37 GMT 2024","Thu Jan 18 16:50:40 GMT 2024","3450","tests.core_features","test_account_data_consistency","TestAccountDataConsistency","","","Sum of accounts' balances match total",""
"passed","Thu Jan 18 16:54:08 GMT 2024","Thu Jan 18 16:54:10 GMT 2024","1891","tests.navigation","test_open_new_account_page_navigation","TestOpenNewAccountPageNavigation","","","User can proceed from Open New Account page to Contact page",""
"passed","Thu Jan 18 16:53:49 GMT 2024","Thu Jan 18 16:53:51 GMT 2024","1768","tests.navigation","test_home_page_navigation","TestHomePageNavigation","","","Logged in user can proceed from Home page to Find Transactions page",""
"passed","Thu Jan 18 16:53:30 GMT 2024","Thu Jan 18 16:53:31 GMT 2024","1088","tests.navigation","test_home_page_navigation","TestHomePageNavigation","","","User can proceed from Home page to Customer Lookup page",""
"passed","Thu Jan 18 16:55:03 GMT 2024","Thu Jan 18 16:55:05 GMT 2024","1934","tests.navigation","test_transfer_funds_page_navigation","TestTransferFundsPageNavigation","","","User can proceed from Transfer Funds page to Request Loan page",""
"passed","Thu Jan 18 16:54:19 GMT 2024","Thu Jan 18 16:54:20 GMT 2024","1650","tests.navigation","test_open_new_account_page_navigation","TestOpenNewAccountPageNavigation","","","User can proceed from Open New Account page to Transfer Funds page",""
"passed","Thu Jan 18 16:50:41 GMT 2024","Thu Jan 18 16:50:45 GMT 2024","3726","tests.core_features","test_account_data_consistency","TestAccountDataConsistency","","","Balance and amount are consistent across Accounts Overview and Account Details pages",""
